player_code,last_season,full_name,team,shirt_number,position,height,birthdate,nationality
LHF,2013,"AJINCA, ALEXIS",Strasbourg,42,Center,2.15,1988-05-06,France
CDD,2005,"AKA, JONATHAN",Pau-Orthez,17,Forward,1.94,1986-09-13,France
007647,2018,"AKAY, MERT",Darussafaka Tekfen Istanbul,4,Guard,1.96,2000-07-12,Turkey
JVE,2012,"AKIN, FIKRET CAN",Besiktas JK Istanbul,10,Guard,1.9,1983-01-30,Turkey
000728,2010,"AKINDELE, JELEEL",Montepaschi Siena,18,Center,2.16,1983-04-02,Nigeria
000645,2011,"AKINGBALA, AKIN",SLUC Nancy,5,Center,2.09,1983-03-25,Nigeria
007394,2016,"AKOGNON, JOSH",Baskonia Vitoria Gasteiz,2,Guard,1.8,1986-02-10,United States of America
004056,2021,"AKPINAR, ISMET",Fenerbahce Beko Istanbul,5,Guard,1.93,1995-05-22,Germany
ANW,2001,"AKRIVOS, CRISTIAN",,,,2.0,1753-01-01,Italy
BXK,2013,"AKYOL, CENK",Galatasaray Liv Hospital Istanbul,17,Forward,1.97,1987-04-16,Turkey
AXU,2001,"ALANOVIC, VLADAN",Idea Slask,6,Guard,1.9,1967-07-06,Croatia
AJL,2001,"ALBANO, COREY",Panathinaikos Athens,13,Forward,2.05,1975-07-28,Italy
006785,2020,"ALBER, EIDAN",Maccabi Playtika Tel Aviv,24,Guard,1.94,2000-01-25,Israel
003425,2019,"ALBICY, ANDREW",Zenit St Petersburg,6,Guard,1.78,1990-03-21,France
003328,2016,"ALDEMIR, FURKAN",Darussafaka Dogus Istanbul,19,Center,2.07,1991-08-09,Turkey
CIT,2009,"ALEKSANDROV, NEMANJA",Union Olimpija,12,Center,2.1,1987-04-10,Serbia
JBZ,2005,"ALEKSANDROVAS, ANDRIUS",Zalgiris,22,Forward,1.96,1986-01-06,Lithuania
BTW,2002,"ALEKSIC, MILUTIN",KK Buducnost,9,Forward,2.02,1982-04-28,Serbia
001206,2008,"ALEKSIC, VUKASIN",Partizan,14,Guard,1.85,1985-01-10,Serbia
CVG,2003,"ALEXANDER, CORY",Lottomatica Roma,13,Guard,1.85,1973-06-22,United States of America
006195,2016,"ALEXANDER, JOE",Maccabi FOX Tel Aviv,23,Forward,2.03,1986-12-26,Israel
AIZ,2003,"ALEXANDER, VICTOR",CSKA Moscow,20,Center,2.08,1969-08-31,United States of America
AYQ,2001,"ALEXEEV, NIKOLAI",CSKA Moscow,5,Guard,2.09,1978-12-01,Belarus
ARC,2001,"ALEXIS, WENDELL",Alba Berlin,12,Forward,2.03,1964-07-31,United States of America
AKG,2002,"ALIHODZIC, DZEVAD",Cibona VIP,15,Center,2.08,1969-02-13,Croatia
JCF,2008,"ALIJEVAS, ROLANDAS",Zalgiris,33,Guard,1.92,1985-01-20,Lithuania
BDI,2002,"ALLEN, JEROME",Tau Ceramica,11,Guard,1.92,1973-01-28,United States of America
BBN,2001,"ALLEN, THEODORE",Kinder London Towers,13,,2.07,1972-09-11,United States of America
LII,2007,"ALLERME, CLEMENT",Le Mans,17,Guard,1.85,1989-06-24,France
002810,2010,"ALMAZAN, PABLO",Unicaja Malaga,8,Forward,2.0,1990-10-21,Spain
010623,2021,"ALOCEN, CARLOS",Real Madrid,12,Guard,1.94,2000-12-30,Spain
AMU,2000,"ALONSO, ALVARO",Tau Ceramica Vitoria-Gasteiz,,Forward,1.96,1980-12-21,Spain
DHX,2003,"ALONSO, ASIER",,,,,1984-03-12,Spain
BFH,2002,"ALSTON, DERRICK",Real Madrid,6,Center,2.08,1972-08-20,United States of America
004992,2015,"ALTINTIG, CAN",Pinar Karsiyaka Izmir,10,Guard,1.95,1987-01-01,Turkey
002875,2014,"ALTIT, BEN",Maccabi Electra Tel Aviv,14,Forward,2.08,1993-04-04,Israel
APH,2008,"ALVERTIS, FRAGISKOS",Panathinaikos Athens,4,Forward,,1974-06-11,Greece
005059,2021,"ALVITI, DAVIDE",AX Armani Exchange Milan,40,Guard,1.97,1996-11-05,Italy
ARZ,2002,"ALZAMORA, ALFONS",FC Barcelona,6,Center,2.06,1979-05-20,Spain
CQT,2003,"AMADOR, JOSE",,,,,1983-03-23,Spain
CNZ,2014,"AMAGOU, PAPE-PHILIPPE",Limoges CSP,17,Guard,1.84,1985-02-27,France
008977,2020,"AMAIZE, ROBIN",FC Bayern Munich,15,Forward,1.88,1994-01-31,Germany
002851,2015,"AMATO, ANDREA",EA7 Emporio Armani Milan,6,Guard,1.9,1994-03-12,Italy
CVN,2003,"AMAYA, ASHRAF OMAR",,,,,1971-11-23,United States of America
AOJ,2000,"AMBRASSA, FABRIZIO",Kinder Virtus Bologna,11,Forward,1.97,1969-04-15,Italy
BZO,2010,"ANAGONYE, ALOYSIUS",Union Olimpija Ljubljana,8,Forward,2.03,1981-02-10,United States of America
AKT,2012,"ANDERSEN, DAVID",Fenerbahce Ulker Istanbul,13,Center,2.12,1980-06-23,Denmark
ABZ,2006,"ANDERSEN, MICHAEL",Prokom Trefl Sopot,14,Center,2.13,1976-01-21,Denmark
TGV,2010,"ANDERSON, ALAN",Regal Barcelona,32,Forward,1.98,1982-10-16,United States of America
005938,2021,"ANDERSON, JAMES",Anadolu Efes Istanbul,23,Forward,1.98,1989-03-25,United States of America
LBR,2005,"ANDERSON, KENNETH",Zalgiris,10,Guard,1.83,1970-10-09,United States of America
000183,2007,"ANDERSON, LUKE",Union Olimpija,23,Forward,1.95,1982-10-01,United States of America
000956,2021,"ANDJUSIC, DANILO",AS Monaco,33,Guard,1.94,1991-04-22,Serbia
001090,2008,"ANDREEV, ALEXANDER",DKV Joventut,0,,2.08,1991-05-03,Germany
JDQ,2012,"ANDRIC, LUKSA",Cedevita Zagreb,12,Center,2.1,1985-01-29,Croatia
002574,2013,"ANDRIC, MIHAJLO",Partizan NIS Belgrade,19,Forward,2.02,1994-01-04,Serbia
ACO,2001,"ANDRIUKAITIS, MARTYNAS",Zalgiris,,Forward,2.03,1981-03-28,Lithuania
JBY,2004,"ANDRIUSKEVICIUS, MARTYNAS",Zalgiris,20,Center,2.17,1986-03-12,Lithuania
002552,2012,"ANDUSIC, LUKA",Partizan mt:s Belgrade,,Guard,1.94,1990-02-10,
JIZ,2004,"ANGELOPOULOS, DIMOSTHENIS",,,,2.1,1984-03-24,Greece
AIN,2001,"ANGULO, ALBERTO",Real Madrid,4,Guard,1.91,1970-06-19,Spain
AIO,2002,"ANGULO, LUCIO",Real Madrid,7,Forward,1.98,1973-04-09,Spain
004327,2013,"ANIKIIENKO, KOSTIANTYN",Budivelnik Kiev,20,Center,2.18,1992-11-09,Ukraine
TFN,2014,"ANISIMOV, MICHAILIS",Neptunas Klaipeda,0,Center,2.16,1984-10-11,Lithuania
002616,2012,"ANNAEV, SERDAR",Khimki Moscow Region,,Guard,1.8,1994-05-24,Russian Federation
CLE,2004,"ANTELO, JOSE ANGEL",,,,2.07,1987-05-07,Spain
011221,2021,"ANTETOKOUNMPO, KOSTAS",LDLC ASVEL Villeurbanne,37,Forward,2.08,1997-11-20,Greece
007865,2018,"ANTETOKOUNMPO, THANASIS",Panathinaikos OPAP Athens,43,Forward,2.0,1992-07-18,Greece
BWS,2003,"ANTIC, PAVLE",,,,,1989-02-26,Serbia
BAE,2017,"ANTIC, PERO",Crvena Zvezda mts Belgrade,12,Center,2.11,1982-07-29,Serbia
002026,2016,"ANTIPOV, PAVEL",Unics Kazan,2,Forward,2.02,1991-09-19,Russian Federation
AMJ,2005,"ANTONIJEVIC, MARKO",Union Olimpija,20,Guard,1.9,1981-05-26,Slovenia
004941,2021,"ANTONOV, SEMEN",CSKA Moscow,11,Forward,2.02,1989-07-18,Russian Federation
ASY,2001,"ANZULOVIC, VLADIMIR",KRKA Novo Mesto,4,Guard,1.86,1978-02-06,Croatia
000781,2010,"APARICIO, ANGEL",Regal Barcelona,19,Forward,1.97,1992-08-14,Spain
003945,2017,"APIC, DRAGAN",Crvena Zvezda mts Belgrade,15,Forward,2.05,1995-10-03,Serbia
AOC,2013,"APOSTOLIDIS, GEORGIOS",Panathinaikos Athens,20,Forward,1.97,1984-01-01,Greece
TEQ,2014,"ARADORI, PIETRO",Galatasaray Liv Hospital Istanbul,21,Guard,1.94,1988-12-09,Italy
003263,2013,"ARANITOVIC, PETAR",Partizan NIS Belgrade,5,Guard,1.88,1994-09-20,Serbia
004402,2015,"ARAPOVIC, MARKO",Cedevita Zagreb,35,Center,2.06,1996-07-20,Croatia
005813,2016,"ARAR, EGE",Galatasaray Odeabank Istanbul,11,Forward,2.08,1996-09-02,Turkey
KBD,2010,"ARCHIBALD, ROBERT",Unicaja Malaga,21,Center,2.09,1980-03-29,United Kingdom
DBE,2008,"ARCHIBONG, KOKO",Asseco Prokom,7,Forward,2.05,1981-05-10,Nigeria
KNR,2005,"ARGYROPOULOS, NIKOS",Olympiacos,33,Guard,1.88,1978-03-25,Greece
ALP,2000,"ARIGBABU, DAVID",Muller Verona,10,Forward,2.03,1975-07-05,Germany
BKY,2009,"ARIGBABU, STEPHEN",Maroussi,13,Center,2.08,1972-02-15,Germany
007516,2017,"ARLAUSKAS, MARTYNAS",Zalgiris Kaunas,24,Guard,1.99,2000-07-10,Lithuania
003331,2012,"ARMSTRONG, HILTON",Panathinaikos Athens,9,Center,2.08,1984-11-23,United States of America
005348,2019,"ARNA, EGEHAN",Fenerbahce Beko Istanbul,18,Forward,2.03,1997-01-05,Turkey
002508,2010,"ARNAU, VICTOR",Power Electronics Valencia,30,Guard,1.84,1991-05-11,Spain
BJQ,2006,"ARNOLD, JAMIE",Maccabi Elite,9,Forward,2.02,1975-03-10,Israel
AAO,2000,"ARRANZ, CESAR",Adecco Estudiantes,15,Center,2.03,1969-12-19,Spain
BCA,2015,"ARROYO, CARLOS",FC Barcelona Lassa,30,Guard,1.88,1979-07-30,United States of America
008025,2017,"ARSENOPOULOS, NIKOLAOS",Olympiacos Piraeus,19,Guard,1.95,2000-05-19,Greece
AGF,2001,"ARSIC, PETAR",Buducnost,5,Forward,2.06,1973-11-06,Serbia
ARN,2016,"ARSLAN, ENDER",Darussafaka Dogus Istanbul,3,Guard,1.88,1983-01-13,Turkey
001589,2011,"ARTEAGA, VICTOR",Real Madrid,0,Center,2.13,1992-07-07,Spain
AVS,2004,"ARZALLUS, ASIER",Tau Ceramica Vitoria-Gasteiz,,Forward,2.04,1983-04-20,Spain
000709,2009,"ASIK, OMER",Fenerbahce Ulker,24,Center,2.11,1986-07-04,Turkey
BOM,2006,"ASKRABIC, OGNJEN",Lottomatica Roma,20,Forward,2.07,1979-07-28,Serbia
CLD,2004,"ASPE, ALBERTO",,,,2.0,1987-05-13,Spain
005961,2017,"ASTAPKOVICH, ANTON",CSKA Moscow,2,Forward,2.02,1994-01-29,Russian Federation
KLF,2005,"ATHANASOULAS, IOANNIS",AEK Athens,17,Forward,2.02,1987-01-21,Greece
004290,2019,"ATHINAIOU, IOANNIS",Panathinaikos OPAP Athens,19,Guard,1.94,1988-05-27,Greece
007674,2020,"ATIAS, YONATAN",Maccabi Playtika Tel Aviv,25,Center,2.05,2001-01-26,Israel
LBP,2006,"ATKINS, RASHID",Prokom Trefl Sopot,5,Guard,1.82,1975-05-15,United States of America
000185,2013,"ATSUR, ENGIN",Galatasaray Liv Hospital Istanbul,14,Guard,1.89,1984-04-02,Germany
BBX,2002,"ATTRUIA, STEFANO",Virtus Bologna,8,Guard,1.83,1969-06-04,Italy
007948,2020,"AUGUSTE, ZACH",Panathinaikos OPAP Athens,8,Center,2.08,1993-07-08,Greece
001438,2017,"AUGUSTINE, JAMES",Unicaja Malaga,40,Center,2.08,1984-02-27,United States of America
AUE,2001,"AUSTIN, CHAD",Opel Skyliners,12,Guard,1.88,1975-06-15,United States of America
BCL,2001,"AUSTIN, ISAAC",Ulker,10,Center,2.08,1969-08-18,United States of America
AEI,2000,"AUSTIN, NEVILLE",Haribo London Towers,11,Center,2.08,1968-01-21,United Kingdom
ADQ,2000,"AUTRY, ADRIAN",PAF Bologna,5,Guard,1.94,1972-02-27,United States of America
010793,2020,"AVDALAS, IOANNIS",Panathinaikos OPAP Athens,27,Forward,1.98,2004-05-07,Greece
010798,2021,"AVDALAS, NEOKLIS",Panathinaikos OPAP Athens,21,Guard,1.96,2006-02-04,Greece
AUQ,2012,"AVDALOVIC, VULE",Alba Berlin,5,Guard,1.89,1981-11-24,Serbia
007675,2019,"AVDIJA, DENI",Maccabi FOX Tel Aviv,8,Guard,2.05,2001-01-03,Israel
AOL,2000,"AVENT, ANTHONY",PAOK Thessaloniki,12,Forward,2.06,1969-10-18,United States of America
AXN,2002,"AVLEEV, RUSLAN",Virtus Bologna,6,Forward,1.98,1976-06-04,Russian Federation
AFF,2001,"AWOJOBI, TUNJI FEMI",Union Olimpija,11,Forward,2.02,1973-07-30,Nigeria
007764,2016,"AYDIN, SERKAN",Galatasaray Odeabank Istanbul,63,Guard,2.0,2000-05-20,Turkey
005927,2019,"AYON, GUSTAVO",Zenit St Petersburg,34,Center,2.08,1985-04-01,Mexico
007148,2016,"AYRES, JEFF",CSKA Moscow,23,Center,2.06,1987-04-29,United States of America
KXF,2007,"AYUSO, LARRY",Cibona,13,Guard,1.9,1977-03-27,Puerto Rico
JIG,2000,"AZEVEDO, PEDRO",Ovarense Aerosoles,,Guard,1.92,1981-09-15,Portugal
AAP,2004,"AZOFRA, IGNACIO",Adecco Estudiantes,13,Guard,1.81,1969-07-23,Spain
001761,2015,"BABIC, LUKA",Cedevita Zagreb,9,Forward,2.01,1991-09-29,Croatia
003475,2011,"BABIC, PETAR",Zagreb,9,Guard,1.9,1985-01-02,Croatia
BUV,2013,"BABRAUSKAS, STEPONAS",Lietuvos Rytas Vilnius,5,Guard,1.97,1984-06-20,Lithuania
004943,2014,"BABURIN, EVGENY",Nizhny Novgorod,4,Guard,1.9,1987-07-04,Russian Federation
KMY,2005,"BACH, JASON",Strasbourg,6,Forward,1.99,1987-01-20,France
KFX,2004,"BACIK, MARIUSZ",Prokom Trefl Sopot,16,Forward,2.07,1972-01-04,Poland
011286,2021,"BACON, DWAYNE",AS Monaco,8,Forward,1.98,1995-08-30,United States of America
BJJ,2006,"BADER, MARTON",Cibona,14,Center,2.12,1980-09-23,Hungary
CNO,2004,"BADIANE, MALICK",Opel Skyliners,15,Forward,2.08,1984-01-01,Senegal
000064,2011,"BADIANE, MOUSSA",SLUC Nancy,7,Center,2.08,1981-10-16,France
TEY,2008,"BADIANE, PAPE",Le Mans,12,Center,2.11,1980-02-10,France
007527,2020,"BADIO, BRANCOU",FC Barcelona,25,Guard,1.91,1999-02-17,Senegal
009947,2021,"BADJI, IBOU",FC Barcelona,41,Center,2.15,2002-10-13,Senegal
005788,2018,"BAEZ, EULIS",Herbalife Gran Canaria,13,Center,2.01,1982-03-18,Dominican Republic
AFG,2009,"BAGARIC, DALIBOR",Cibona,14,Center,2.15,1980-07-02,Germany
DHB,2004,"BAGATSKIS, AINARS",Zalgiris,8,Guard,1.97,1967-03-29,Latvia
010003,2020,"BAGATSKIS, FREDS",Valencia Basket,51,Forward,2.02,2003-10-07,Latvia
TFP,2007,"BAGNOLI, SIMONE",Lottomatica Roma,13,Forward,2.06,1987-09-21,Italy
BEM,2009,"BAILEY, BRYAN",EWE Baskets,11,Guard,1.85,1980-06-15,United States of America
TGK,2007,"BAILEY, MAURICE",Union Olimpija,20,Guard,1.83,1981-10-30,United States of America
JGF,2004,"BAILEY, TOBY",AEK Athens,15,Guard,1.93,1975-11-19,United States of America
AXW,2001,"BAJER, ARTUR",,,,,1753-01-01,
TFL,2010,"BAJRAMOVIC, KENAN",Lietuvos Rytas Vilnius,51,Forward,2.07,1981-05-24,Bosnia and Herzegovina
LBN,2005,"BAKER, MAURICE",Lietuvos Rytas,23,Guard,1.85,1979-07-28,United States of America
009767,2019,"BAKER, RON",CSKA Moscow,84,Guard,1.93,1993-03-30,United States of America
AEJ,2001,"BAKER, RONNIE",Kinder London Towers,4,Guard,1.72,1969-07-28,United Kingdom
AEU,2007,"BAKIC, BOJAN",Union Olimpija,21,Forward,1.97,1983-01-08,Montenegro
KAW,2007,"BAKIC, BORIS",Partizan Igokea,0,Guard,1.93,1986-05-23,Montenegro
004655,2020,"BAKO, ISMAEL",LDLC ASVEL Villeurbanne,21,Center,2.08,1995-10-10,Belgium
000014,2008,"BALABAN, DARKO",Partizan,9,Center,2.12,1989-09-22,Serbia
004803,2015,"BALASHOV, NIKITA",Lokomotiv Kuban Krasnodar,17,Forward,2.07,1991-06-19,Russian Federation
007581,2019,"BALASHOV, SERGEI",Zenit St Petersburg,11,Forward,2.06,1996-07-20,Russian Federation
BJL,2003,"BALAZIC, JURE",KRKA Novo Mesto,15,Forward,2.02,1980-09-12,Slovenia
003521,2021,"BALBAY, DOGUS",Anadolu Efes Istanbul,4,Guard,1.85,1989-01-21,Turkey
007553,2018,"BALCEROWSKI, ALEKSANDER",Herbalife Gran Canaria,2,Center,2.15,2000-11-19,Poland
DHO,2003,"BALDASSARRE, PATRICK",,,,,1986-05-03,Italy
006707,2021,"BALDASSO, TOMMASO",AX Armani Exchange Milan,25,Guard,1.9,1998-01-29,Italy
009863,2021,"BALDWIN IV, WADE",Bitci Baskonia Vitoria-Gasteiz,5,Guard,1.93,1996-03-29,United States of America
AFS,2000,"BALDWIN, PATRICK",Zadar,6,Guard,1.87,1972-03-14,United States of America
APM,2002,"BALLOGIANNIS, GEORGIOS",Panathinaikos,9,Guard,1.98,1971-01-17,Greece
BWD,2003,"BALTANAS, MARCOS",Unicaja,4,Guard,1.93,1976-06-13,Spain
002644,2018,"BALVIN, ONDREJ",Herbalife Gran Canaria,12,Center,2.17,1992-09-20,Czech Republic
ATS,2016,"BANIC, MARKO",Unics Kazan,13,Center,2.04,1984-08-31,Croatia
LNE,2012,"BANKS, CEDRICK",Elan Chalon-Sur-Saone,21,Guard,1.9,1981-12-16,United States of America
004428,2012,"BANKS, MARCUS",Panathinaikos Athens,15,Guard,1.88,1981-11-19,United States of America
003068,2010,"BAPTIST, BILLY",Unicaja Malaga,22,Guard,1.9,1987-08-19,United States of America
TGC,2015,"BARAC, STANKO",EA7 Emporio Armani Milan,27,Center,2.17,1986-08-14,Croatia
AEB,2000,"BARAK, PELEG",Hapoel Jerusalem,7,Guard,1.94,1972-06-16,Israel
KGD,2004,"BARAN, NIKOLA",,,,,1987-12-15,Croatia
009923,2020,"BARASHKOV, MAKSIM",Khimki Moscow Region,11,Forward,2.01,1998-07-10,Russian Federation
BWZ,2016,"BARGNANI, ANDREA",Baskonia Vitoria Gasteiz,1,Center,2.13,1985-10-26,Italy
001110,2009,"BARINOV, NIKITA",CSKA Moscow,0,Forward,2.03,1991-01-21,Russian Federation
ALX,2001,"BARLERA, PAOLO",Kinder Virtus Bologna,19,Center,2.08,1982-09-08,Italy
KNP,2006,"BARLOS, NIKOS",Olympiacos,12,Forward,,1979-07-12,Greece
005206,2013,"BARLOW, DAVID",Stelmet Zielona Gora,12,Forward,2.05,1983-10-22,Australia
ASQ,2001,"BARNES, STEPHEN",Kinder London Towers,13,Forward,2.04,1973-01-26,United Kingdom
005775,2021,"BARON, BILLY",Zenit St Petersburg,12,Guard,1.88,1990-12-11,United States of America
002741,2018,"BAROVIC, FILIP",Buducnost VOLI Podgorica,6,Center,2.07,1990-07-29,Montenegro
004586,2013,"BARREIRO, JONATHAN",Real Madrid,7,Forward,2.02,1997-01-16,Spain
011242,2021,"BARRERA, ALEJANDRO",Bitci Baskonia Vitoria-Gasteiz,7,Guard,1.96,1992-04-01,Spain
BMV,2010,"BARRERA, PANCHI",Unicaja Malaga,9,Guard,1.93,1985-04-06,Spain
001170,2008,"BARRETT, ANDRE",Regal FC Barcelona,6,Guard,1.75,1982-02-21,United States of America
KUP,2011,"BARROCA, CARLOS",Zalgiris Kaunas,13,Forward,,1984-08-19,Portugal
003490,2021,"BARTHEL, DANILO",Fenerbahce Beko Istanbul,22,Forward,2.08,1991-10-24,Germany
003420,2012,"BARTOLI, LORENZO",EA7 Emporio Armani Milan,,Guard,1.98,1994-04-24,Italy
BCW,2009,"BARTON, LUBOS",Regal FC Barcelona,13,Forward,,1980-04-07,Czech Republic
LGR,2009,"BASAK, RASIM",Fenerbahce Ulker,8,Forward,2.02,1980-01-17,Turkey
LTJ,2006,"BASDEN, EDDIE",Fenerbahce Ulker,23,Forward,1.95,1983-02-15,United States of America
AHR,2001,"BASEI, FRANCESCO",Benetton Basket,13,Forward,2.03,1983-06-08,Italy
AXE,2003,"BASHMINOV, ALEXANDR",CSKA Moscow,15,Center,2.11,1978-05-07,Russian Federation
ADS,2012,"BASILE, GIANLUCA",EA7 Emporio Armani Milan,55,Guard,1.92,1975-01-24,Italy
ACP,2000,"BASINSKAS, MARIUS",Zalgiris Kaunas,8,Forward,1.98,1981-02-23,Lithuania
BMP,2005,"BASTON, MACEO",Maccabi Elite Tel Aviv,5,Forward,2.06,1976-05-29,United States of America
LAP,2005,"BASTONI, FABIO",,,,,1988-06-21,Italy
001868,2009,"BATIS, MARIOS",Maroussi,8,Guard,1.88,1980-06-20,Greece
DHD,2014,"BATISTA, ESTEBAN",Panathinaikos Athens,15,Center,2.08,1983-09-02,Uruguay
LML,2014,"BATISTA, J.P.",Limoges CSP,13,Center,2.06,1981-10-29,Brazil
AJV,2013,"BATISTE, MIKE",Panathinaikos Athens,8,Forward,2.04,1977-11-21,United States of America
004170,2018,"BATUK, BIRKAN",Anadolu Efes Istanbul,8,Forward,1.96,1990-01-30,Turkey
KOH,2011,"BATUM, NICOLAS",SLUC Nancy,55,Forward,2.03,1988-12-14,France
LGG,2006,"BAUER, MICHAEL",Pau-Orthez,15,Guard,2.03,1981-08-14,United States of America
000207,2009,"BAVCIC, EDIN",Union Olimpija,9,Forward,2.1,1984-05-06,Bosnia and Herzegovina
KIN,2008,"BAXTER, LONNY",Panionios On Telecoms,18,Center,2.03,1979-01-27,United States of America
KIH,2007,"BAYAV, EMRE",Efes Pilsen,21,Center,2.11,1987-07-14,Turkey
002971,2018,"BAYGUL, MUHAMMED",Darussafaka Tekfen Istanbul,5,Guard,1.95,1992-06-03,Turkey
006648,2016,"BAYKAN, OGULCAN",Anadolu Efes Istanbul,3,Guard,1.96,1996-01-07,Turkey
001892,2012,"BAYNES, ARON",Union Olimpija Ljubljana,12,Center,2.08,1986-12-09,Australia
KMQ,2005,"BAYRAK, ENIS",,,,,1989-08-30,Turkey
005350,2015,"BAYRAK, ERCAN",Fenerbahce Istanbul,22,Forward,2.08,1997-07-09,Turkey
009411,2020,"BAYRAK, YUSUF",Fenerbahce Beko Istanbul,12,Forward,2.01,2003-08-17,Turkey
AKH,2000,"BAZAREVICH, SERGEY",Saint Petersburg Lions,14,Guard,1.93,1965-03-16,Russian Federation
BDC,2012,"BAZDARIC, MARINO",Cedevita Zagreb,45,Guard,1.95,1978-11-25,Croatia
AHS,2009,"BEARD, JOEY",Armani Jeans Milano,19,Center,2.1,1975-02-21,Italy
BTR,2007,"BEARD, TANOKA",Zalgiris,6,Center,2.06,1971-09-29,United States of America
KXJ,2005,"BEASLEY, JEROME",Ulker,17,Center,2.08,1980-05-17,United States of America
006590,2021,"BEAUBOIS, RODRIGUE",Anadolu Efes Istanbul,1,Guard,1.9,1988-02-24,France
AGG,2009,"BECIROVIC, SANI",Union Olimpija,7,Guard,1.95,1981-05-19,Slovenia
JSP,2005,"BEECHUM III, HURL",GHP Bamberg,10,Forward,1.96,1973-05-02,Germany
AVV,2011,"BEGHIN, CHRISTOPHE",Belgacom Spirou Charleroi,16,Center,,1980-01-02,Belgium
JBJ,2014,"BEGIC, MIRZA",Laboral Kutxa Vitoria,15,Center,2.16,1985-07-09,Slovenia
KMP,2005,"BEGLEY, TIM",GHP Bamberg,31,Guard,1.98,1983-08-08,United States of America
KHQ,2004,"BEIRAN, JAVIER",,,,2.0,1987-05-22,Spain
004491,2015,"BELEMENE, ROMARIC",Unicaja Malaga,8,Forward,2.02,1997-02-19,Democratic Republic of the Congo
005826,2014,"BELIAUSKAS, LAURYNAS",Neptunas Klaipeda,30,Guard,1.89,1997-03-02,Lithuania
BCN,2006,"BELINELLI, MARCO",Climamio Bologna,23,Guard,1.95,1986-03-25,Italy
BCK,2002,"BELL, CHARLIE",Virtus Bologna,11,Guard,1.91,1979-03-12,United States of America
006497,2018,"BELL, JAMES",Buducnost VOLI Podgorica,31,Forward,1.96,1992-01-07,United States of America
KHC,2004,"BELL, TROY",Real Madrid,32,Guard,1.84,1980-11-10,United States of America
000757,2007,"BELLAS, TOMAS",Real Madrid,0,,1.85,1987-06-24,Spain
009106,2020,"BELLVER, ALEJANDRO",Valencia Basket,40,Forward,1.94,2002-08-24,Spain
